price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age
2995,chevrolet,tracker,excellent,4 cylinders,gas,114341.0,clean,automatic,2CNBE13C036943244,rwd,SUV,white,18.0
20999,nissan,frontier,good,6 cylinders,gas,72238.0,clean,automatic,1N6AD0EV1GN794000,4wd,truck,black,5.0
41990,lexus,is350fsportsedan4d,good,6 cylinders,gas,8104.0,clean,other,JTHGZ1B23L5035873,rwd,sedan,white,1.0
18999,nissan,xterrapro4x,excellent,6 cylinders,gas,123063.0,clean,automatic,5N1AN0NWXEN804539,4wd,SUV,grey,7.0
8495,ford,fiestas,like new,4 cylinders,gas,59734.0,clean,automatic,3FADP4TJ6GM170546,fwd,hatchback,silver,5.0
38900,acura,tlx,like new,6 cylinders,gas,3500.0,clean,automatic,19UUB3F40LA002578,4wd,sedan,grey,1.0
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0
6400,mercury,monterey,good,6 cylinders,gas,72556.0,clean,automatic,2MRZA21245BJ02324,fwd,van,brown,16.0
11400,audi,a4quattropremium,like new,4 cylinders,gas,80146.0,clean,automatic,WAUBFAFL0BN036420,4wd,sedan,grey,10.0
42995,ford,f150platinum,excellent,6 cylinders,gas,61897.0,clean,automatic,1FTEW1EG4JFA06964,4wd,truck,white,3.0
12999,hyundai,veloster,excellent,4 cylinders,gas,78554.0,clean,automatic,KMHTC6AD2FU239829,fwd,coupe,red,6.0
13995,bmw,3series,excellent,4 cylinders,gas,86797.0,clean,automatic,WBA3B5C52DF594571,4wd,sedan,blue,8.0
34990,toyota,tacomadoublecabpickup,good,6 cylinders,gas,1112.0,clean,other,5TFLU4EN2EX098976,4wd,pickup,white,7.0
26998,chevrolet,silverado,good,8 cylinders,gas,116311.0,clean,automatic,3GCUKREC5EG396710,4wd,truck,black,7.0
48207,jeep,gladiator,excellent,6 cylinders,gas,25931.0,clean,automatic,1C6HJTFGXLL114572,4wd,truck,white,1.0
27850,bmw,4series,excellent,4 cylinders,gas,53450.0,clean,automatic,WBA4F9C58HG440169,4wd,sedan,blue,4.0
29990,toyota,tacomadoublecabpickup,good,6 cylinders,gas,43182.0,clean,other,3TMLU4EN4CM085701,4wd,pickup,white,9.0
52990,ford,superdutyf550drw,good,8 cylinders,diesel,15886.0,clean,automatic,1FDUF5HT8EEB30478,4wd,truck,white,7.0
35990,dodge,challengerrtcoupe2d,good,8 cylinders,gas,1548.0,clean,other,2C3CDZBT9LH119053,rwd,coupe,black,1.0
6995,chevrolet,malibuls,excellent,4 cylinders,gas,123000.0,clean,automatic,1G11B5SL8EF141852,fwd,sedan,brown,7.0
14495,toyota,corollale,excellent,4 cylinders,gas,36972.0,clean,other,2T1BURHE2JC069278,fwd,sedan,white,3.0
27990,toyota,tacomadoublecabpickup,good,6 cylinders,gas,67245.0,clean,other,5TFLU4EN4CX030112,4wd,pickup,silver,9.0
42590,mercedes-benz,slclasssl400,good,6 cylinders,gas,24048.0,clean,other,WDDJK6FA7FF036233,rwd,convertible,black,6.0
1995,dodge,grandcaravansport,good,6 cylinders,gas,231373.0,clean,automatic,2B4GP443X2R754678,fwd,mini-van,silver,19.0
27490,mitsubishi,fusofe145,good,4 cylinders,diesel,96626.0,clean,automatic,JL6BBE1S86K001871,rwd,truck,green,15.0
10950,volkswagen,beetle,excellent,5 cylinders,gas,89400.0,clean,automatic,3VWJP7AT6CM627012,fwd,coupe,yellow,9.0
9495,mini,coopers,excellent,4 cylinders,gas,116508.0,clean,automatic,WMWZC5C52CWL62655,4wd,hatchback,brown,9.0
