price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age,estimate_msrp
20999,nissan,frontier,good,6 cylinders,gas,72238.0,clean,automatic,1N6AD0EV1GN794000,4wd,truck,black,5.0,35290.0
8495,ford,fiestas,like new,4 cylinders,gas,59734.0,clean,automatic,3FADP4TJ6GM170546,fwd,hatchback,silver,5.0,14000.0
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0,51540.0
11400,audi,a4quattropremium,like new,4 cylinders,gas,80146.0,clean,automatic,WAUBFAFL0BN036420,4wd,sedan,grey,10.0,33500.0
12999,hyundai,veloster,excellent,4 cylinders,gas,78554.0,clean,automatic,KMHTC6AD2FU239829,fwd,coupe,red,6.0,19800.0
34990,toyota,tacomadoublecabpickup,good,6 cylinders,gas,1112.0,clean,other,5TFLU4EN2EX098976,4wd,pickup,white,7.0,35000.0
26998,chevrolet,silverado,good,8 cylinders,gas,116311.0,clean,automatic,3GCUKREC5EG396710,4wd,truck,black,7.0,42600.0
6995,chevrolet,malibuls,excellent,4 cylinders,gas,123000.0,clean,automatic,1G11B5SL8EF141852,fwd,sedan,brown,7.0,22600.0
14495,toyota,corollale,excellent,4 cylinders,gas,36972.0,clean,other,2T1BURHE2JC069278,fwd,sedan,white,3.0,19600.0
27990,toyota,tacomadoublecabpickup,good,6 cylinders,gas,67245.0,clean,other,5TFLU4EN4CX030112,4wd,pickup,silver,9.0,30800.0
42590,mercedes-benz,slclasssl400,good,6 cylinders,gas,24048.0,clean,other,WDDJK6FA7FF036233,rwd,convertible,black,6.0,62600.0
1995,dodge,grandcaravansport,good,6 cylinders,gas,231373.0,clean,automatic,2B4GP443X2R754678,fwd,mini-van,silver,19.0,23800.0
6499,ford,edge,excellent,6 cylinders,gas,145961.0,clean,automatic,2FMDK39C18BB33625,fwd,SUV,white,13.0,29300.0
35990,dodge,challengerrtcoupe2d,good,8 cylinders,gas,6933.0,clean,other,2C3CDZBT0LH119099,rwd,coupe,white,1.0,38500.0
24995,bmw,328igtxdriveawd,excellent,4 cylinders,gas,31818.0,clean,automatic,WBA8Z5C54FD671554,4wd,hatchback,silver,6.0,39750.0
17990,gmc,acadia,good,6 cylinders,gas,76839.0,clean,automatic,1GKKRPKD2GJ143371,fwd,SUV,white,5.0,36400.0
6995,kia,soul,excellent,4 cylinders,gas,90502.0,clean,manual,KNDJT2A18B7268352,fwd,wagon,silver,10.0,15000.0
6999,ford,fiestase,excellent,4 cylinders,gas,84974.0,clean,automatic,3FADP4EJ0BM238135,fwd,hatchback,red,10.0,15300.0
35990,toyota,4runnersr5sportutility,good,6 cylinders,gas,33556.0,clean,other,JTEBU5JR7L5790715,4wd,SUV,black,1.0,40000.0
5000,gmc,envoy,good,6 cylinders,gas,123000.0,clean,automatic,1GKDT13S652272631,4wd,SUV,silver,16.0,40985.0
4555,chrysler,ptcruiser,excellent,4 cylinders,gas,182541.0,clean,automatic,3C4FY58B55T537205,fwd,hatchback,red,16.0,23000.0
34995,gmc,sierra2500hd,good,8 cylinders,diesel,178800.0,clean,automatic,1GT125E81EF134398,4wd,truck,white,7.0,64205.0
7995,hyundai,accentse,excellent,4 cylinders,gas,31691.0,rebuilt,automatic,KMHCT4AE3HU238768,fwd,sedan,grey,4.0,16500.0
51990,chevrolet,corvettestingrayz51,good,8 cylinders,gas,7389.0,clean,other,1G1YH3D76F5119261,rwd,convertible,black,6.0,55300.0
20900,chevrolet,corvette,good,8 cylinders,gas,49446.0,clean,manual,1G1YY32G635129822,fwd,convertible,black,18.0,49995.0
13500,ford,mustang,excellent,8 cylinders,gas,71400.0,clean,automatic,1ZVFT82H275255570,rwd,coupe,grey,14.0,29350.0
25990,chevrolet,camaroltcoupe2d,good,6 cylinders,gas,21938.0,clean,other,1G1FB1RS0L0113491,rwd,coupe,green,1.0,26400.0
48900,ford,superdutyf250srw,excellent,8 cylinders,diesel,134000.0,clean,automatic,1FT7W2BT4FEA02443,4wd,truck,white,6.0,56200.0
11495,chevrolet,silverado1500,good,8 cylinders,gas,196433.0,clean,automatic,1GCRKSE01DZ326610,4wd,truck,silver,8.0,39500.0
8990,ford,focus,excellent,4 cylinders,gas,59615.0,clean,automatic,1FADP3F21EL178695,fwd,sedan,black,7.0,19700.0
35590,ram,1500crewcabbighorn,good,8 cylinders,gas,22401.0,clean,other,1C6RR7LT4HS667558,4wd,pickup,blue,4.0,40500.0
5998,toyota,sienna,excellent,6 cylinders,gas,154000.0,clean,automatic,5TDZA23C76S497205,fwd,mini-van,silver,15.0,26500.0
6488,ford,focus,good,4 cylinders,gas,130647.0,clean,automatic,1FADP3K20FL302785,fwd,hatchback,white,6.0,19995.0
59990,ford,superdutyf550drw,good,8 cylinders,diesel,31337.0,clean,automatic,1FD0X5HTXHEB33429,4wd,truck,white,4.0,67500.0
11995,dodge,grandcaravan,good,6 cylinders,gas,67595.0,clean,automatic,2C4RDGBG5CR335859,fwd,van,silver,9.0,29800.0
10900,ford,mustang,excellent,6 cylinders,gas,109268.0,clean,automatic,1ZVBP8EM8B5122333,rwd,convertible,black,10.0,30995.0
6995,toyota,priusii,excellent,4 cylinders,gas,140800.0,clean,automatic,JTDKN3DU4C1544766,fwd,hatchback,white,9.0,24000.0
37990,chevrolet,corvettegrandsport,good,8 cylinders,other,56302.0,clean,other,1G1YS3DW5A5103103,rwd,other,red,11.0,56150.0
6495,ford,fusion,excellent,6 cylinders,gas,138917.0,clean,automatic,3FAHP0CG9AR340536,4wd,sedan,silver,11.0,27600.0
34590,chevrolet,silverado1500double,good,6 cylinders,gas,29499.0,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,5.0,38000.0
31995,ford,f250sd,excellent,8 cylinders,gas,91200.0,clean,automatic,1FT7W2B67EEA75475,4wd,truck,black,7.0,50600.0
25990,dodge,grandcaravanpassengerse,good,6 cylinders,gas,28.0,clean,other,2C4RDGBG7KR782806,fwd,van,black,2.0,29500.0
37995,chevrolet,silverado1500,excellent,8 cylinders,gas,93481.0,clean,automatic,3GCUKREC1HG277900,4wd,pickup,silver,4.0,38500.0
31395,chevrolet,silverado1500lt4x4,excellent,8 cylinders,gas,115781.0,clean,automatic,1GCVKREC4GZ239810,4wd,truck,brown,5.0,41000.0
20990,chrysler,300limitedsedan4d,good,6 cylinders,gas,32293.0,clean,other,2C3CCAAG6HH541670,rwd,sedan,black,4.0,33995.0
19995,volkswagen,golfgti,excellent,4 cylinders,gas,54701.0,clean,automatic,3VW447AU4HM047473,fwd,hatchback,black,4.0,26000.0
17995,ford,explorerlimited,excellent,6 cylinders,gas,86189.0,clean,automatic,1FM5K7F89EGC24285,fwd,SUV,grey,7.0,42000.0
25990,dodge,chargersxtsedan4d,good,6 cylinders,gas,31154.0,clean,other,2C3CDXBG6KH672622,rwd,sedan,red,2.0,30695.0
18200,mercedes-benz,cla,excellent,4 cylinders,gas,100000.0,clean,automatic,WDDSJ4GB0EN160822,4wd,sedan,red,7.0,36800.0
12999,cadillac,ats,excellent,4 cylinders,gas,101196.0,clean,automatic,1G6AA5RA7D0173274,rwd,sedan,black,8.0,33995.0
18895,ford,flex,good,6 cylinders,gas,86208.0,clean,other,2FMHK6C81FBA21170,4wd,SUV,silver,6.0,33500.0
45300,ram,3500bighorn,excellent,6 cylinders,diesel,34125.0,rebuilt,automatic,3C63R3LL4JG236634,4wd,truck,black,3.0,57700.0
10000,chevrolet,cruzelimited,excellent,4 cylinders,gas,99728.0,clean,automatic,1G1PE5SB1G7111243,fwd,sedan,white,5.0,19000.0
6950,volkswagen,tiguan,excellent,4 cylinders,gas,125495.0,clean,automatic,WVGBV7AX7AW537599,4wd,SUV,grey,11.0,29000.0
37590,chevrolet,corvettegrandsport,good,8 cylinders,gas,42017.0,clean,other,1G1YW2DW4B5109555,rwd,coupe,red,10.0,59400.0
10500,ford,f250,good,8 cylinders,diesel,190000.0,clean,manual,1FTSX21RX8EC31905,4wd,truck,black,13.0,47000.0
44990,chevrolet,corvettestingray,good,8 cylinders,gas,22973.0,clean,other,1G1YF2D7XE5108892,rwd,coupe,black,7.0,70300.0
10500,honda,crvlx,excellent,4 cylinders,gas,119000.0,clean,automatic,5J6RM4H38CL053821,4wd,SUV,red,9.0,25000.0
18900,jeep,grandcherokee,excellent,6 cylinders,gas,68003.0,clean,automatic,1C4RJFAG4EC458360,4wd,SUV,black,7.0,38500.0
13995,pontiac,solstice,like new,4 cylinders,gas,31444.0,clean,manual,1G2MG35X68Y101517,rwd,convertible,orange,13.0,30300.0
13997,lexus,es350,excellent,6 cylinders,gas,71934.0,clean,automatic,JTHBJ46G772129139,fwd,sedan,silver,14.0,36100.0
46995,gmc,sierra2500hd,good,8 cylinders,diesel,189470.0,clean,automatic,1GT12UEY7HF123923,4wd,truck,custom,4.0,69400.0
23500,ford,expedition,excellent,8 cylinders,gas,131000.0,clean,automatic,1FMJU2AT3FEF21296,4wd,SUV,black,6.0,65700.0
8000,kia,sorento,excellent,6 cylinders,gas,133645.0,clean,automatic,5XYKWDA25CG234941,4wd,SUV,white,9.0,33000.0
16995,ford,explorer,excellent,6 cylinders,gas,95000.0,clean,automatic,1FM5K7D89EGB89508,4wd,SUV,grey,7.0,32750.0
11900,toyota,highlander,good,6 cylinders,gas,114673.0,clean,automatic,JTEDS43A682032258,rwd,SUV,blue,13.0,30000.0
7975,ford,focus,excellent,4 cylinders,gas,97715.0,clean,automatic,1FADP3K28GL374903,fwd,hatchback,white,5.0,19900.0
13999,bmw,x6,excellent,6 cylinders,gas,162990.0,clean,automatic,5UXFG43539L223678,4wd,SUV,blue,12.0,55000.0
7999,subaru,outback25i,excellent,4 cylinders,gas,163118.0,clean,automatic,4S4BRBJC8B3354437,4wd,wagon,blue,10.0,30300.0
25990,gmc,acadiaslt2sportutility,good,6 cylinders,gas,70640.0,clean,other,1GKKNNLS8KZ159484,fwd,SUV,white,2.0,38500.0
39990,lexus,is350fsportsedan4d,good,6 cylinders,gas,8820.0,clean,other,JTHGZ1B26L5035835,rwd,sedan,white,1.0,41300.0
38590,mercedes-benz,cclassc63amg,good,8 cylinders,gas,39558.0,clean,automatic,WDDGJ7HB1EG206426,rwd,coupe,black,7.0,63450.0
19500,gmc,acadia,excellent,6 cylinders,gas,83000.0,clean,automatic,1GKKVRKD5FJ316208,4wd,SUV,silver,6.0,39500.0
5995,chrysler,200limitednavigation,excellent,6 cylinders,gas,129610.0,clean,automatic,1C3BC2FG1BN518290,fwd,sedan,black,10.0,29995.0
18500,subaru,imprezawrx,excellent,4 cylinders,gas,88950.0,clean,other,JF1GV7E67CG003050,4wd,sedan,white,9.0,28995.0
34990,jeep,grandcherokeetrailhawk,good,6 cylinders,gas,37509.0,clean,other,1C4RJFLG1JC138453,4wd,other,black,3.0,44800.0
28995,mercedes-benz,glclass,excellent,8 cylinders,gas,118492.0,clean,automatic,4JGDF7DE3FA464817,4wd,SUV,white,6.0,82000.0
8490,honda,crvlx4wdat,excellent,4 cylinders,gas,141366.0,clean,automatic,JHLRE48398C076019,4wd,SUV,blue,13.0,25000.0
13500,ford,superdutyf350srw,good,8 cylinders,gas,34000.0,clean,automatic,1FTWF31568EE48875,4wd,pickup,red,13.0,38600.0
17300,dodge,grandcaravangt,like new,6 cylinders,gas,44100.0,clean,automatic,2C4RDGEG7KR687836,fwd,mini-van,white,2.0,30795.0
49900,chevrolet,silverado2500hd,excellent,8 cylinders,diesel,64777.0,clean,automatic,1GC1KVEY8HF138842,fwd,truck,white,4.0,60000.0
13980,dodge,journeysxt,excellent,6 cylinders,gas,68475.0,clean,automatic,3C4PDCBG6GT153400,fwd,SUV,black,5.0,25395.0
6499,toyota,sienna,excellent,6 cylinders,gas,153000.0,clean,automatic,5TDZA22C96S544171,fwd,van,silver,15.0,36000.0
29900,chevrolet,suburbanls,good,8 cylinders,other,129481.0,clean,other,1GNSCHKC6FR201256,rwd,other,black,6.0,48495.0
5995,honda,accordsdn,good,6 cylinders,gas,143342.0,clean,automatic,1HGCM66554A032628,fwd,sedan,white,17.0,24900.0
38900,chevrolet,silverado2500hd,excellent,8 cylinders,diesel,132000.0,clean,automatic,1GC1KYC84CF110727,4wd,truck,silver,9.0,62000.0
15800,ford,superdutyf350srw,good,8 cylinders,diesel,77000.0,clean,automatic,1FTWF31R18ED05979,4wd,pickup,grey,13.0,40800.0
8000,lexus,es330,excellent,6 cylinders,gas,114809.0,clean,automatic,JTHBA30G055082924,fwd,sedan,blue,16.0,35000.0
33675,rover,sport,good,6 cylinders,gas,72617.0,clean,automatic,SALWR2WF8EA395787,4wd,SUV,grey,7.0,65900.0
1300,volkswagen,touareg,fair,8 cylinders,gas,159577.0,clean,automatic,WVGCM77LX4D084185,4wd,SUV,black,17.0,49000.0
9488,hyundai,sonatase,excellent,4 cylinders,gas,97000.0,clean,automatic,5NPE24AF1GH395250,fwd,sedan,white,5.0,22000.0
23990,dodge,grandcaravanpassengerse,good,6 cylinders,gas,13337.0,clean,other,2C4RDGBG8KR805770,fwd,van,silver,2.0,29295.0
9996,toyota,corolla,good,4 cylinders,gas,83160.0,clean,automatic,2T1BURHE6EC174637,fwd,sedan,silver,7.0,18000.0
12938,honda,accordcpeex,good,4 cylinders,gas,112592.0,clean,automatic,1HGCT1B78DA014363,fwd,coupe,blue,8.0,22995.0
6995,dodge,dart,good,4 cylinders,gas,78300.0,clean,automatic,1C3CDFBA1DD176293,fwd,sedan,blue,8.0,18895.0
16995,ford,transit,good,6 cylinders,gas,80384.0,clean,automatic,1FMZK1ZM3FKB33177,rwd,van,silver,6.0,33500.0
17995,ford,f150,excellent,8 cylinders,gas,126786.0,clean,automatic,1FTFW1EF6BKD36061,4wd,pickup,white,10.0,39600.0
20900,jeep,compass,excellent,4 cylinders,gas,33622.0,rebuilt,automatic,3C4NJDDB2KT627326,4wd,SUV,red,2.0,32500.0
12000,bmw,x5,like new,6 cylinders,gas,116905.0,clean,automatic,5UXZV4C55BL740473,4wd,sedan,black,10.0,57000.0
9999,mazda,mazda3,excellent,4 cylinders,gas,99091.0,clean,automatic,JM1BL1TG8D1749417,fwd,sedan,white,8.0,18000.0
20590,chrysler,300limitedsedan4d,good,6 cylinders,gas,71021.0,clean,other,2C3CCAEG6JH123125,rwd,sedan,black,3.0,36000.0
14995,chrysler,200limited,excellent,4 cylinders,gas,28124.0,clean,automatic,1C3CCCAB8GN167777,fwd,sedan,grey,5.0,25300.0
35597,cadillac,xt5,excellent,6 cylinders,gas,31273.0,clean,automatic,1GYKNDRS3LZ187671,4wd,SUV,silver,1.0,57990.0
4000,subaru,outbackxtlimited,good,4 cylinders,gas,134250.0,rebuilt,manual,4S4BP63C096312113,4wd,wagon,blue,12.0,30300.0
2995,lincoln,towncar,good,8 cylinders,gas,156172.0,clean,automatic,1LNHM81W82Y614481,rwd,sedan,green,19.0,42940.0
12900,kia,sedona,excellent,6 cylinders,gas,112996.0,clean,automatic,KNDMB5C13F6041810,fwd,van,custom,6.0,28300.0
19995,ford,f150,excellent,8 cylinders,gas,91000.0,clean,automatic,1FTFX1CF0DFA73934,rwd,truck,silver,8.0,36745.0
16995,ford,explorer,excellent,6 cylinders,gas,115144.0,clean,automatic,1FMHK7F85BGA33133,fwd,SUV,grey,10.0,38850.0
3750,hyundai,accent,good,4 cylinders,gas,105979.0,clean,automatic,KMHCN46C79U386697,fwd,sedan,custom,12.0,15000.0
36990,lexus,rx350,excellent,6 cylinders,gas,19306.0,clean,automatic,2T2BZMCA8HC088867,4wd,SUV,white,4.0,42550.0
13500,porsche,boxster,excellent,6 cylinders,gas,122723.0,clean,automatic,WP0CB29845U730151,rwd,convertible,blue,16.0,57500.0
7000,toyota,highlander,excellent,6 cylinders,gas,108082.0,salvage,automatic,JTEDP21A460095117,fwd,SUV,red,15.0,28100.0
4200,hyundai,santafelimitedawd,excellent,6 cylinders,gas,160000.0,clean,automatic,5NMSH73E57H046368,4wd,SUV,green,14.0,28800.0
37995,ford,transit,excellent,6 cylinders,gas,32000.0,clean,automatic,1FTBR3X86LKA43875,rwd,van,white,1.0,41000.0
6995,chevrolet,cruze2lt,excellent,4 cylinders,gas,113110.0,clean,automatic,1G1PG5SC3C7318990,fwd,sedan,black,9.0,18500.0
13990,audi,a3,excellent,4 cylinders,gas,90864.0,clean,automatic,WAUACGFF0F1039669,fwd,sedan,black,6.0,31900.0
16400,honda,crv,excellent,4 cylinders,gas,131545.0,clean,automatic,5J6RM4H71FL047835,4wd,SUV,silver,6.0,30500.0
37990,toyota,tundradoublecabsr,good,8 cylinders,gas,22870.0,clean,other,5TFUM5F13GX069124,4wd,pickup,black,5.0,44900.0
9995,chevrolet,traverse,good,6 cylinders,gas,112974.0,clean,automatic,1GNKRGEDXBJ366961,fwd,wagon,custom,10.0,30730.0
4750,subaru,legacyl,good,4 cylinders,gas,115661.0,clean,automatic,4S3BE635636212116,4wd,sedan,silver,18.0,19895.0
